Title,Authors,Periodical-Title,Pub-Year,PMID
Air medical transport myths,"MacDonald, Russell D.; Lewell, Michael; Moore, Sean; Pan, Andy; Peddle, Michael; Sawadsky, Bruce",Canadian Journal Of Emergency Medicine,2020,
Applications of Two-Eyed Seeing in Primary Research Focused on Indigenous Health: A Scoping Review,"Forbes, Andrew; Ritchie, Stephen; Walker, Jennifer; Young, Nancy",International Journal Of Qualitative Methods,2020,
"Articulating the form, function, and meaning of drug using in the Philippines from the lens of morality and work ethics","Sy, Michael Palapal; Bontje, Peter; Ohshima, Nobuo; Kiepek, Niki",Journal Of Occupational Science,2020,
"Bacillus Calmette-Guerin vaccination and clinical characteristics and outcomes of COVID-19 in Rhode Island, United States: a cohort study","Weng, C-H; Saal, A.; Butt, W. W-W; Bica, N.; Fisher, J. Q.; Tao, J.; Chan, P. A.",Epidemiology And Infection,2020,
"Baseline staging imaging for distant metastasis in women with stages I, II, and III breast cancer","Arnaout, A.; Varela, N. P.; Allarakhia, M.; Grimard, L.; Hey, A.; Lau, J.; Thain, L.; Eisen, A.",Current Oncology,2020,
Canadian experience of neoadjuvant chemotherapy on bladder recurrences in patients managed with trimodal therapy for muscle-invasive bladder cancer,"Ajib, Khaled; Tjong, Michael C.; Tan, Guan Hee; Nason, Gregory; Berjaoui, Mohammad Baker; Erlich, Annette; Maganti, Manjula; Sridhar, Srikala; Fleshner, Neil E.; Zlotta, Alexandre R.; Catton, Charles; Berlin, Alejandro; Chung, Peter; Kulkarni, Girish S.",CUAJ - Canadian Urological Association Journal,2020,
Canadian Multicenter Project on Standardization of Programmed Death-Ligand 1 Immunohistochemistry 22C3 Laboratory-Developed Tests for Pembrolizumab Therapy in NSCLC,"Torlakovic, Emina; Albadine, Roula; Bigras, Gilbert; Boag, Alexander; Bojarski, Anna; Cabanero, Michael; Camilleri-Broet, Sophie; Cheung, Carol; Couture, Christian; Craddock, Kenneth J.; Cutz, Jean-Claude; Dhamanaskar, Prashant; Fiset, Pierre O.; Hossain, Mohammad; Hwang, David M.; Ionescu, Diana; Itani, Doha; Kelly, Margaret M.; Kwan, Keith; Lim, Hyun J.; Nielsen, Soren; Qing, Gefei; Sekhon, Harman; Spatz, Alan; Waghray, Ranjit; Wang, Hangjun; Xu, Zhaolin; Tsao, Ming Sound",Journal Of Thoracic Oncology,2020,
Combination Radiation Therapy and PARP Inhibition Enhances Responsiveness To Anti-PD-1 Therapy In Colorectal Tumor Models,"Seyedin, S. N.; Hasibuzzaman, M.; Pham, V.; Callaghan, C. M.; Kalen, A. L.; Mapuskar, K. A.; Mott, S.; Spitz, D. R., J.; Allen, B. G.; Caster, J. M.","International Journal Of Radiation Oncology, Biology, Physics",2020,
Comparison of characteristics of children and adolescents with and without a history of abuse assessed in an urgent psychiatric clinic,"Dolp, R.; Roberts, N.; Groll, D.",Paediatrics & Child Health,2020,
Comparison of coronary CT angiography versus functional imaging for CABG patients: A resource utilization analysis,"Small, Gary R.; Erthal, Fernanda; Alenazy, Ali; Yam, Yeung; Edwards, Michael; Crean, Andrew; Beanlands, Rob S.; Ruddy, Terrence D.; Chow, Benjamin J. W.",IJC Heart & Vasculature,2020,
Decision-Based Cooperative Spectrum Sensing Using Random Medium-Access Sequential Reporting,"Ahmed, Ahmed A.; Abu Alkheir, Ala; Mouftah, Hussein T.",Canadian Journal Of Electrical And Computer Engineering - Revue Canadienne De Genie Electrique Et Informatique,2020,
Determining Early Remodeling Patterns in Diabetes and Hypertension Using Cardiac Computed Tomography: The Feasibility of Assessing Early LV Geometric Changes,"Walpot, Jeroen; Inacio, Joao R.; Massalha, Samia; Hossain, Alomgir; Small, Gary R.; Crean, Andrew M.; Yam, Yeung; Rybicki, Frank; Dwivedi, Girish; Chow, Benjamin J. W.",American Journal Of Hypertension,2020,
Efficacy of tildrakizumab by patient demographic and disease characteristics across a phase 2b and 2 phase 3 trials in patients with moderate-to-severe chronic plaque psoriasis,"Poulin, Y.; Ramon, M.; Rosoph, L.; Weisman, J.; Mendelsohn, A. M.; Parno, J.; Rozzo, S. J.; Lee, P.",Journal Of The European Academy Of Dermatology And Venereology,2020,
Endovascular Cerebral Venous Sinus Imaging with Optical Coherence Tomography,"Pasarikovski, C. R.; Ku, J. C.; Keith, J.; Ramjist, J.; Dobashi, Y.; Priola, S. M.; da Costa, L.; Yang, VXD",American Journal Of Neuroradiology,2020,
Engagement with Manage My Pain mobile health application among patients at the Transitional Pain Service,"Slepian, P. M.; Peng, Michael; Janmohamed, Tahir; Kotteeswaran, Yuvaraj; Manoo, Varuna; Blades, Alexander McLaren; Fiorellino, Joseph; Katznelson, Rita; Tamir, Diana; McRae, Karen; Kahn, Michael; Huang, Alexander; Kona, Sharath; Thaker, Sonalben; Weinrib, Aliza; Katz, Joel; Clarke, Hance",Digital Health,2020,
Estimated susceptibility of Canadian meningococcal B isolates to a meningococcal serogroup B vaccine (MenB-FHbp),"Bettinger, Julie A.; Liberator, Paul; Halperin, Scott A.; Vaudry, Wendy; Sadarangani, Manish; Hao, Li; Lambert, Nathaniel; Jansen, Kathrin U.; Anderson, Annaliesa S.; Tsang, Raymond",Vaccine,2020,
First Nations' Survivance and Sovereignty in Canada during a Time of COVID-19,"Rowe, Robyn K.; Rowat, Julia; Walker, Jennifer D.",American Indian Culture And Research Journal,2020,
Impact of trainee involvement on patient radiation exposure and contrast volumes during invasive cardiac procedures,"Kansal, Vinay; Simard, Trevor; Di Santo, Pietro; Chong, Aun Yeong; So, Derek; Hossain, Alomgir; Small, Gary; Chow, Benjamin J. W.; Hibbert, Benjamin",Clinical And Investigative Medicine,2020,
"Major Outcomes With Personalized Dialysate TEMPerature (MyTEMP): Rationale and Design of a Pragmatic, Registry-Based, Cluster Randomized Controlled Trial","Al-Jaishi, A. A.; McIntyre, C. W.; Sontrop, J. M.; Dixon, S. N.; Anderson, S.; Bagga, A.; Benjamin, D.; Berry, D.; Blake, P. G.; Chambers, L.; Chan, PCK; Delbrouck, N.; Devereaux, P. J.; Ferreira-Divino, L. F.; Goluch, R.; Gregor, L.; Grimshaw, J. M.; Hanson, G.; Iliescu, E.; Jain, A. K.; Lok, C. E.; Mustafa, R. A.; Nathoo, B.; Nesrallah, G. E.; Oliver, M. J.; Pandeya, S.; Parmar, M. S.; Perkins, D.; Presseau, J.; Rabin, E.; Sasal, J.; Shulman, T.; Sood, M. M.; Steele, A.; Tam, P.; Tascona, D.; Wadehra, D.; Wald, R.; Walsh, M.; Watson, P.; Wodchis, W.; Zager, P.; Zwarenstein, M.; Garg, A. X.; Investigators, Mytemp",Canadian Journal Of Kidney Health And Disease,2020,
Meta-analysis of nursing-related organizational and psychosocial predictors of sickness absence,"Gohar, B.; Lariviere, M.; Lightfoot, N.; Wenghofer, E.; Lariviere, C.; Nowrouzi-Kia, B.",Occupational Medicine,2020,
Methamphetamine use among gay men: An interpretive review of a non-sanctioned occupation,"Gish, Alexander; Kiepek, Niki; Beagan, Brenda",Journal Of Occupational Science,2020,
Mining-Related Lower Back Injuries and the Compensation Process: An Injured Worker's Journey,"Mongeau, Sherry; Lightfoot, Nancy; MacEwan, Leigh; Eger, Tammy",Workplace Health & Safety,2020,
Non-lesional eating epilepsy with temporo-insular onset: A stereo-EEG study,"Aldosari, Mubarak M.; Joswig, Holger; Marti, Ana Suller; Parrent, Andrew; Mirsattari, Seyed M.",Epilepsy & Behavior Reports,2020,
Patient and physician perceptions of lung cancer care in a multidisciplinary clinic model,"Linford, G.; Egan, R.; Coderre-Ball, A.; Dalgarno, N.; Stone, CJL; Robinson, A.; Robinson, D.; Wakeham, S.; Digby, G. C.",Current Oncology,2020,
Pharmacogenetic Testing Options Relevant to Psychiatry in Canada: Options de tests pharmacogenetiques pertinents en psychiatrie au Canada,"Maruf, Abdullah Al; Fan, Mikayla; Arnold, Paul D.; Muller, Daniel J.; Aitchison, Katherine J.; Bousman, Chad A.",Canadian Journal Of Psychiatry.Revue Canadienne De Psychiatrie,2020,
Reference values for mid -diastolic right ventricular volume in population referred for cardiac computed tomography: An additional diagnostic value to cardiac computed tomography,"Massalha, Samia; Almufleh, Aws; Walpot, Jeroen; Ratnayake, Indeevari; Qureshi, Rohail; Abbass, Tasneem; Pena, Elena; Inacio, Joao; Rybicki, Frank J.; Small, Gary; Crean, Andrew; Chow, Benjamin J. W.",Journal Of Cardiovascular Computed Tomography,2020,
Role of Cardiac Auscultation in the Era of Portable Handheld Ultrasound,"Le, Vincent Kent; Beruar, Ananya; Liu, Helen; Sadreddini, Masoud; Salehian, Omid",Canadian Journal Of Cardiology,2020,
Successful treatment of locally advanced urachal adenocarcinoma with peri-operative gemcitabine - cisplatin combination therapy: a case report and perspective on targeted therapies,"Voutsadakis, Ioannis A.",Central European Journal Of Urology,2020,
"The implementation of rifapentine and isoniazid (3HP) in two remote Arctic communities with a predominantly Inuit population, the Taima TB 3HP study","Alvarez, G. G.; Van Dyk, D.; Mallick, R.; Lesperance, S.; Demaio, P.; Finn, S.; Potvin, S. E.; Patterson, M.; Pease, C.; Amaratunga, K.; Hui, C.; Cameron, D. W.; Mulpuru, S.; Aaron, S. D.; Momoli, F.; Zwerling, A.",International Journal Of Circumpolar Health,2020,
The role of cardiac imaging in the management of non-ischemic cardiovascular diseases in human immunodeficiency virus infection,"Aljizeeri, Ahmed; Small, Gary; Malhotra, Saurabh; Buechel, Ronny; Jain, Diwakar; Dwivedi, Girish; Al-Mallah, Mouaz",Journal Of Nuclear Cardiology,2020,
The role of the epilepsy monitoring unit in the investigation of patients with epilepsy and intellectual disabilities,"Marti, A. S.; Aldosari, M.; Mirsattari, S. M.",Epilepsy & Behavior,2020,
Utility of digital rectal examination in a population with prostate cancer treated with active surveillance,"Herrera-Caceres, Jaime; Wettstein, Marian S.; Goldberg, Hanan; Toi, Ants; Chandrasekar, Thenappan; Woon, Dixon T. S.; Ahmad, Ardalan E.; Sanmamed-Salgado, Noelia; Alhunaidi, Omar; Ajib, Khaled; Nason, Gregory; Tan, Guan Hee; Fleshner, Neil; Klotz, Laurence",CUAJ - Canadian Urological Association Journal,2020,
"Working Toward Healthcare Integration: A Broad-Based Community Effort in Muskoka, Ontario","Mathies, David J.",Healthcarepapers,2020,
A Latent Class Analysis of the Social Determinants of Health Impacting Heavy Alcohol Consumption Among Women Living with HIV in Canada: The Canadian HIV Women's Sexual and Reproductive Health Cohort Study,"Shokoohi, Mostafa; Bauer, Greta R.; Kaida, Angela; Logie, Carmen H.; Carter, Allison; Lacombe-Duncan, Ashley; Loutfy, Mona; Abdul-Noor, Rahma; Anema, Aranka; Angel, Jonathan; Baril, Jean-Guy; Barry, Fatimatou; Beaver, Kerrigan; Becker, Denise; Benoit, Anita; Brophy, Jason; Brotto, Lori; Burchell, Ann; Cardinal, Claudette; Carlson, Allison; Cescon, Angela; Cioppa, Lynne; Cohen, Jeffrey; Colley, Guillaume; Conway, Tracey; Cooper, Curtis; Cotnam, Jasmine; Cousineau, Janette; Dayle, Janice; Desbiens, Marisol; Dubinsky, Hania; Dubuc, Daniele; Duddy, Janice; Gagnier, Brenda; Gahagan, Jacqueline; Gasingirwa, Claudine; Gataric, Nada; Greene, Saara; Hart, Trevor; Hankins, Catherine; Hogg, Bob; Howard, Terry; Islam, Shazia; Jones, Evin; Kaushic, Charu; Keating, Alexandria; Kennedy, Logan; Kestler, Mary; Kiboyogo, Maxime; Klein, Marina; Kwaramba, Gladys; Langlois, Andrea; Lee, Melanie; Lee, Rebecca; Leonard, Lynne; Lewis, Johanna; Lima, Viviane; Lloyd-Smith, Elisa; Logie, Carmen; Margolese, Shari; Martin, Carrie; Masching, Renee; Massie, Lyne; Medjuck, Melissa; Menard, Brigitte; Miller, Cari; Money, Deborah; Muchenje, Marvelous; Mwalwanda, Mary; Ndungu, Mary (Nuthoni); Nicholson, Valerie; Nzikwikiza, Illuminee; O'Brien, Kelly; O'Brien, Nadia; Ogilvie, Gina; Ogunnaike-Cooke, Susanna; Otis, Joanne; Palmer, Ali; Patterson, Sophie; Peltier, Doris; Persad, Yasmeen (Ashria); Pick, Neora; Pierre, Alie; Powis, Jeff; Proulx-Boucher, Karene; Quan, Corinna; Raboud, Janet; Rachlis, Anita; Ralph, Edward; Rawson, Stephanie; Roth, Eric; Rouleau, Danielle; Rourke, Sean; Rueda, Sergio; Saavedra, Mercy; Salters, Kate; Sanchez, Margarite; Sandre, Roger; Sas, Jacquie; Sereda, Paul; Smaill, Fiona; Smith, Stephanie; Summers, Marcie; Tigere, Tsitsi; Tharao, Wangari; Thomas-Pavanel, Jamie; Tom, Christina; Tremblay, Cecile; Trottier, Benoit; Trottier, Sylvie; Tsoukas, Christos; Wagner, Anne; Walmsley, Sharon; Webster, Kath; Wobeser, Wendy; Yee, Jessica; Yudin, Mark; Zhang, Wendy; CHIWOS, Res Team",AIDs And Behavior,2019,
"A longitudinal study of associations between HIV-related stigma, recent violence and depression among women living with HIV in a Canadian cohort study","Logie, Carmen H.; Marcus, Natania; Wang, Ying; Kaida, Angela; O'Campo, Patricia; Ahmed, Uzma; O'Brien, Nadia; Nicholson, Valerie; Conway, Tracey; de Pokomandy, Alexandra; Fernet, Mylene; Loutfy, Mona; Anema, Aranka; Becker, Denise; Brotto, Lori; Carter, Allison; Cardinal, Claudette; Colley, Guillaume; Ding, Erin; Duddy, Janice; Gataric, Nada; Hogg, Robert S.; Howard, Terry; Jabbari, Shahab; Jones, Evin; Kestler, Mary; Langlois, Andrea; Lima, Viviane; Lloyd-Smith, Elisa; Medjuck, Melissa; Miller, Cari; Money, Deborah; Ogilvie, Gina; Patterson, Sophie; Pick, Neora; Roth, Eric; Salters, Kate; Sanchez, Margarite; Sas, Jacquie; Sereda, Paul; Summers, Marcie; Tom, Christina; Wang, Lu; Webster, Kath; Zhang, Wendy; Angel, Jonathan; Barry, Fatimatou; Bauer, Greta; Beaver, Kerrigan; Benoit, Anita; Bertozzi, Breklyn; Borton, Sheila; Bourque, Tammy; Brophy, Jason; Burchell, Ann; Carlson, Allison; Cioppa, Lynne; Cohen, Jeffrey; Cooper, Curtis; Cotnam, Jasmine; Cousineau, Janette; Fraleigh, Annette; Gagnier, Brenda; Gasingirwa, Claudine; Greene, Saara; Hart, Trevor; Islam, Shazia; Kaushic, Charu; Kennedy, Logan; Kerr, Desiree; Kiboyogo, Maxime; Kwaramba, Gladys; Leonard, Lynne; Lewis, Johanna; Logie, Carmen; Margolese, Shari; Muchenje, Marvelous; Mary; Ndung'u; O'Brien, Kelly; Ouellette, Charlene; Powis, Jeff; Quan, Corinna; Raboud, Janet; Rachlis, Anita; Ralph, Edward; Rourke, Sean; Rueda, Sergio; Sandre, Roger; Smaill, Fiona; Smith, Stephanie; Tigere, Tsitsi; Tharao, Wangari; Walmsley, Sharon; Wobeser, Wendy; Yee, Jessica; Yudin, Mark; Baril, Jean-Guy; Burke, Nora Butler; Clement, Pierrette; Dayle, Janice; Dubuc, Daniele; Groleau, Danielle; Hot, Aurelie; Klein, Marina; Martin, Carrie; Massie, Lyne; Menard, Brigitte; Otis, Joanne; Peltier, Doris; Pierre, Alie; Proulx-Boucher, Karene; Rouleau, Danielle; Savoie, Edenia; Iremblay, Cecile; Trottier, Benoit; Trottier, Sylvie; Tsoukas, Christos; Gahagan, Jacqueline; Hankins, Catherine; Masching, Renee; Ogunnaike-Cooke, Susanna; CHIWOS, Res Team",Journal Of The International AIDS Society,2019,
Bilateral and Unilateral Partially Thrombosed Orbital Varices Report of Two Cases and Literature Review,"Shahi, Niharika, ; Kisselgoff, David, ; Shuster, Anatoly, ",SN Compr.Clin.Med.SN Comprehensive Clinical Medicine,2019,
Childbirth and prevention of bipolar disorder: an opportunity for change,"Sharma, Verinder; Bergink, Veerle; Berk, Michael; Chandra, Prabha S.; Munk-Olsen, Trine; Viguera, Adele C.; Yatham, Lakshmi N.",Lancet Psychiatry,2019,
Chlorhexidine skin symptoms and allergy in dialysis patients and nurses,"Chan, F. L.; Merchant, A. A.; Breede, N.; Lipszyc, J. C.; House, R.; Tarlo, S. M.",Clinical And Experimental Allergy,2019,
Community engagement in general practice: a qualitative study,"Rowe, N.; Keenan, R.; Lack, L.; Malloy, N.; Strasser, R.; Lawrenson, R.",Journal Of Primary Health Care,2019,
Comparison of Framingham risk score and chest-CT identified coronary artery calcification in breast cancer patients to predict cardiovascular events,"Phillips, William J.; Johnson, Christopher; Law, Angeline; Turek, Michele; Small, Alex R.; Dent, Susan; Ruddy, Terrence D.; Beanlands, Rob S.; Chowb, Benjamin J. W.; Small, Gary R.",International Journal Of Cardiology,2019,
Competency-Based Medical Education Do the Cardiac Imaging Training Guidelines Have it Right?,"Chow, Benjamin J. W.; Alenazy, Ali; Small, Gary; Crean, Andrew; Yam, Yeung; Beanlands, Rob S.; Clarkin, Owen; Froeschl, Michael; Ruddy, Terrence D.; Hossain, Alomgir",JACC - Cardiovascular Imaging,2019,
"Depression, Antidepressants and Hypertensive Disorders of Pregnancy: A Systematic Review","Youash, Sabrina; Sharma, Verinder",Current Drug Safety,2019,
Differences in left ventricular measurements: Attenuation versus contour based methods,"Liu, Yici; Bourgeois, Sophia; Yam, Yeung; Small, Gary R.; Chow, Benjamin J. W.",Journal Of Cardiovascular Computed Tomography,2019,
Direct-Acting Antiviral Treatment Failure Among Hepatitis C and HIV-Coinfected Patients in Clinical Care,"Rossi, Carmine; Young, Jim; Martel-Laferriere, Valerie; Walmsley, Sharon; Cooper, Curtis; Wong, Alexander; Gill, M. J.; Klein, Marina B.; Barrett, Lisa; Cohen, Jeff; Conway, Brian; Cote, Pierre; Cox, Joseph; Gill, John; Haider, Shariq; Hull, Mark; Klein, Marina; Montaner, Julio; Moodie, Erica; Pick, Neora; Rachlis, Anita; Rouleau, Danielle; Sadr, Aida; Sanche, Steve; Sandre, Roger; Tyndall, Mark; Vachon, Marie-Louise; Wong, Alex; Canadian Co-Infection Cohort",Open Forum Infectious Diseases,2019,
Early LV remodelling patterns in overweight and obesity: Feasibility of cardiac CT to detect early geometric left ventricular changes,"Walpot, Jeroen; Inacio, Joao R.; Massalha, Samia; El Mais, Huda; Hossain, Alomgir; Shiau, Judy; Small, Gary R.; Crean, Andrew M.; Yam, Yeung; Rybicki, Frank; Chow, Benjamin J. W.",Obesity Research & Clinical Practice,2019,
Epidemiology of Clostridioides difficile infection in Canada: A six-year review to support vaccine decision-making,"Xia, Y.; Tunis, M. C.; Frenette, C.; Katz, K.; Amaratunga, K.; Rose, S. R.; House, A.; Quach, C.",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2019,
Evaluation of Asthma and Allergic Rhinitis among the Children of Iqaluit,"Ahmed, Ahmed; Becker, Allan; Hakim, Amir",Journal Of Allergy And Clinical Immunology,2019,
Exoscope-Guided (VITOM 3D) Single-Stage Removal of Supratentorial Cavernous Angioma and Hemangioblastoma: 3-Dimensional Operative Video,"Angileri, F. F.; Esposito, F.; Scibilia, A.; Priola, S. M.; Raffa, G.; Germanò, A.",Operative Neurosurgery,2019,
Experience on the use of Vagus Nerve Stimulation during pregnancy,"Marti, A. S.; Mirsattari, S. M.; Steven, D. A.; Parrent, A. G.; MacDougall, K. W.; McLachlan, R. S.; Burneo, J. G.",Epilepsy Research,2019,
Exploring the Term Resilience in Arctic Health and Well-Being Using a Sharing Circle as a Community-Centered Approach: Insights from a Conference Workshop,"Healey Akearok, Gwen; Cueva, Katie; Stoor, P. J.; Larsen, V. C.; Rink, Elizabeth; Kanayurak, Nicole; Emelyanova, Anastasia; Hiratsuka, Y. V.",Social Sciences,2019,
"Granulocyte-macrophage colony-stimulating factor (GM-CSF) as a therapeutic target in psoriasis: randomized, controlled investigation using namilumab, a specific human anti-GM-CSF monoclonal antibody","Papp, K. A.; Gooderham, M.; Jenkins, R.; Vender, R.; Szepietowski, J. C.; Wagner, T.; Hunt, B.; Souberbielle, B.; Hartman, I.; Kunynetz, R.; Lynde, C.; Narbutt, J.; Poulin, Y.; Poznanska, M.; Raman, M.; Reich, K.; Rosoph, L.; Septe, M.; Viba, D.; Wasel, N.; Zachariae, C.; Falk, T. M.; Investigators, NEPTUNE",British Journal Of Dermatology,2019,
"Hiring, training, and supporting Peer Research Associates: Operationalizing community-based research principles within epidemiological studies by, with, and for women living with HIV","Kaida, Angela; Carter, Allison; Nicholson, Valerie; Lemay, Jo; O'Brien, Nadia; Greene, Saara; Tharao, Wangari; Proulx-Boucher, Karene; Gormley, Rebecca; Benoit, Anita; Bernier, Melina; Thomas-Pavanel, Jamie; Lewis, Johanna; de Pokomandy, Alexandra; Loutfy, Mona; Abdul-Noor, Rahma; Anema, Aranka; Angel, Jonathan; Bakombo, Dada Mamvula; Barry, Fatimatou; Bauer, Greta; Beaver, Kerrigan; Boucher, Marc; Boucoiran, Isabelle; Brophy, Jason; Brotto, Lori; Burchell, Ann; Cardinal, Claudette; Cioppa, Lynne; Conway, Tracey; Cote, Jose; Cotnam, Jasmine; d'Ambrumenil, Cori; Dayle, Janice; Ding, Erin; Dubuc, Daniele; Duddy, Janice; Fernet, Mylene; Fraleigh, Annette; Frank, Peggy; Gagnier, Brenda; Gagnon, Marilou; Gahagan, Jacqueline; Gasingirwa, Claudine; Gataric, Nada; Groleau, Danielle; Guerlotte, Charlotte; Hart, Trevor; Hankins, Catherine; Heer, Emily; Hogg, Robert S.; Howard, Terry; Islam, Shazia; Jean-Gilles, Joseph; Jefferis, Hermione; Jones, Evin; Kaushic, Charu; Kazemi, Mina; Kestler, Mary; Kiboyogo, Maxime; Klein, Marina; Kronfli, Nadine; Kwaramba, Gladys; Lacasse, Gary; Lacombe-Duncan, Ashley; Lee, Melanie; Lee, Rebecca; Li, Jenny; Lima, Viviane; Lloyd-Smith, Elisa; Logie, Carmen; Maan, Evelyn; Martel-Lafreniere, Valerie; Martin, Carrie; Masching, Renee; Massie, Lyne; Medjuck, Melissa; Menard, Brigitte; Miller, Cari L.; Mitchell, Judy; Mondragon, Gerardo; Money, Deborah; Monteith, Ken; Muchenje, Marvelous; Mukandamutsa, Florida; Ndung'u, Mary; O'Brien, Kelly; Ogilvie, Gina; Ogunnaike-Cooke, Susanna; Otis, Joanne; Parry, Rebeccah; Patterson, Sophie; Paul, Angela; Peltier, Doris; Pick, Neora; Pierre, Alie; Powis, Jeff; Quan, Corinna; Rana, Jesleen; Roth, Eric; Rouleau, Danielle; Rouleau, Genevieve; Rueda, Sergio; Salters, Kate; Sanchez, Margarite; Sandre, Roger; Sas, Jacquie; Savoie, Edenia; Sereda, Paul; Smith, Stephanie; Summers, Marcie; Tom, Christina; Tremblay, Cecile; Trigg, Jason; Trottier, Sylvie; Underhill, Angela; Wagner, Anne; Walmsley, Sharon; Wang, Clara; Webster, Kath; Wobeser, Wendy; Wozniak, Denise; Yudin, Mark; Zhang, Wendy; Zhu, Julia; CHIWOS, Res Team",Harm Reduction Journal,2019,
"Increase in ST-11 serogroup W Neisseria meningitidis invasive meningococcal disease in Canada, 2016-2018","Tsang, R. S.; Hoang, L.; Tyrrell, G. J.; Minion, J.; Van Caeseele, P.; Kus, J. V.; Lefebvre, B.; Haldane, D.; Garceau, R.; German, G.; Zahariadis, G.; Hanley, B.",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2019,
Isocitrate Lyase and Succinate Semialdehyde Dehydrogenase Mediate the Synthesis of α-Ketoglutarate in Pseudomonas fluorescens,"Alhasawi, Azhar A.; Thomas, Sean C.; Tharmalingam, Sujeethar; Legendre, Felix; Appanna, Vasu D.",Frontiers In Microbiology,2019,
Love with HIV: A Latent Class Analysis of Sexual and Intimate Relationship Experiences Among Women Living with HIV in Canada,"Carter, Allison; Greene, Saara; Money, Deborah; Sanchez, Margarite; Webster, Kath; Nicholson, Valerie; Brotto, Lori A.; Hankins, Catherine; Kestler, Mary; Pick, Neora; Salters, Kate; Proulx-Boucher, Karene; O'Brien, Nadia; Patterson, Sophie; de Pokomandy, Alexandra; Loutfy, Mona; Kaida, Angela; Hogg, Robert S.; Abdul-Noor, Rahma; Anema, Aranka; Angel, Jonathan; Bakombo, Dada Mamvula; Barry, Fatimatou; Bauer, Greta; Beaver, Kerrigan; Boucher, Marc; Brophy, Jason; Brotto, Lori; Cardinal, Claudette; Cioppa, Lynne; Conway, Tracey; Cotnam, Jasmine; d'Ambrumenil, Cori; Dayle, Janice; Ding, Erin; Dubuc, Daniele; Duddy, Janice; Fernet, Mylene; Fraleigh, Annette; Frank, Peggy; Gagnier, Brenda; Gagnon, Marilou; Gahagan, Jacqueline; Gasingirwa, Claudine; Gataric, Nada; Gormley, Rebecca; Guerlotte, Charlotte; Hawa, Roula; Heer, Emily; Howard, Terry; Islam, Shazia; Jean-Gilles, Joseph; Jefferis, Hermione; Jones, Evin; Kaushic, Charu; Kazemi, Mina; Kiboyogo, Maxime; Klein, Marina; Kronfli, Nadine; Lacasse, Gary; Lacombe-Duncan, Ashley; Lee, Melanie; Lee, Rebecca; Li, Jenny; Lima, Viviane; Lloyd-Smith, Elisa; Maan, Evelyn; Martel-Lafreniere, Valerie; Martin, Carrie; Masching, Renee; Massie, Lyne; Medjuck, Melissa; Menard, Brigitte; Miller, Cari L.; Mitchell, Judy; Mondragon, Gerardo; Monteith, Ken; Mukandamutsa, Florida x.; O'Brien, Kelly; Ogilvie, Gina; Ogunnaike-Cooke, Susanna; Otis, Joanne; Parry, Rebeccah; Paul, Angela; Pierre, Alie; Powis, Jeff; Quan, Corinna; Rana, Jesleen; Roth, Eric; Rouleau, Danielle; Rouleau, Genevieve; Rueda, Sergio; Sandre, Roger; Sas, Jacquie; Savoie, Edenia; Sereda, Paul; Smith, Stephanie; Summers, Marcie; Tharao, Wangari; Tom, Christina; Tremblay, Cecile; Trigg, Jason; Trottier, Sylvie; Underhill, Angela; Wagner, Anne; Walmsley, Sharon; Wang, Clara; Wobeser, Wendy; Wozniak, Denise; Yudin, Mark; Zhang, Wendy; Zhu, Julia; Burchell, Ann; Cote, Jose; Muchenje, Marvelous; CHIWOS, Res Team",Archives Of Sexual Behavior,2019,
Managing opioid use disorder in primary care PEER simplified guideline,"Korownyk, C.; Perry, D.; Ton, J.; Kolber, M. R.; Garrison, S.; Thomas, B.; Allan, G. M.; Bateman, C.; de Queiroz, R.; Kennedy, D.; Lamba, W.; Marlinga, J.; Mogus, T.; Nickonchuk, T.; Orrantia, E.; Reich, K.; Wong, N.; Dugré, N.; Lindblad, A. J.",Canadian Family Physician,2019,
Measuring Cardiovascular Quality in Primary Care Using Canadian Cardiovascular Harmonization of National Guidelines Endeavour and Electronic Medical Record Data in Ontario,"Lee, Theresa M.; Tobe, Sheldon W.; Butt, Debra A.; Ivers, Noah M.; Jaakkimainen, Liisa; Liu, Peter; Walker, Kimberly; Tu, Karen",CJC Open,2019,
Myocardial Viability: From PARR-2 to IMAGE HF - Current Evidence and Future Directions,"Erthal, Fernanda; Wiefels, Christiane; Promislow, Steven; Kandolin, Riina; Stadnick, Ellamae; Mielniczuk, Lisa; Ruddy, Terrence; Small, Gary; Beanlands, Rob",International Journal Of Cardiovascular Sciences,2019,
Overcoming Challenges During Holmium Laser Enucleation of the Prostate,"Elmansy, Hazem; Hodhod, Amr; Oquendo, Fabiola; Abdel-Hadi, Ruba; Kotb, Ahmed; Prowse, Owen; Shahrour, Walid",Journal of Endourology,2019,
